OFFICE_LOC,LOC,NAME,HOMEPAGE,ESTABLISHMENT,GENDER,ZIP_CODE,ADDRESS,TEL, 1G_CLA , 2G_CLA , 3G_CLA , SPECIAL_CLA , CLA_SUM , 1G_STU , 1G_STU_EMPTY , 2G_STU , 2G_STU_EMPTY , 3G_STU , 3G_STU_EMPTY , STU_SUM , STU_EMPTY_SUM , AVG , T_NUM , T_EMPTY , T_REGULAR_NYM , T_REGULAR_EMPTY , T_TERM_NUM , T_TERM_EMPTY , EMP_NUM , EMP_EMPTY , CLASS_NUM 
동부,동대문구,동대문중학교,http://dongdaemun.ms.kr, 공립 , 공학 ,2553," 서울특별시 동대문구 사가정로 59 , 동대문중학교 (전농동) ",234074231,8,7,8,2,25,201,117,159,73,182,93,542,283,21.7,49,36,42,32,7,4,5,2,42
동부,중랑구,동원중학교,http://www.tongwon.ms.kr, 공립 , 공학 ,2062," 서울특별시 중랑구 양원역로 32 (망우동, 동원중학교) ",24938129,5,5,5, - ,15,107,31,102,21,110,18,319,70,21.3,34,24,29,21,5,3,4,3,40
동부,중랑구,면목중학교,http://www.myonmok.ms.kr, 공립 , 공학 ,2193," 서울특별시 중랑구 용마산로70길 37 , 면목중학교 (면목동) ",24370278,8,7,8,1,24,185,66,169,59,198,74,552,199,23,50,39,42,32,8,7,3,1,47
동부,중랑구,봉화중학교,http://www.ibonghwa.ms.kr, 공립 , 공학 ,2179," 서울특별시 중랑구 망우로70길 89 (망우동,봉화중학교) ",24333180,5,5,5,2,17,125,36,96,18,112,19,333,73,19.6,34,24,31,22,3,2,4,1,35
동부,중랑구,상봉중학교,http://www.sangbong.ms.kr, 공립 , 공학 ,2081, 서울특별시 중랑구 상봉중앙로8나길 28 (상봉동) ,24364452,9,9,10,1,29,204,94,221,103,278,135,703,332,24.2,57,39,48,33,9,6,3,3,37
동부,동대문구,성일중학교,http://sungil.ms.kr, 공립 , 공학 ,2575, 서울특별시 동대문구 왕산로23길 55 (제기동) ,29260211,5,5,5,1,16,98,40,97,31,106,36,301,107,18.8,36,27,32,23,4,4,4,3,34
동부,동대문구,숭인중학교,http://www.soongin.ms.kr, 공립 , 공학 ,2592," 서울특별시 동대문구 천호대로47길 34 (답십리동, 숭인중학교) ",222150176,6,5,5,2,18,124,65,117,50,117,64,358,179,19.9,37,27,30,22,7,5,3,1,32
동부,중랑구,신현중학교,http://sinhyeon.ms.kr, 공립 , 공학 ,2075," 서울특별시 중랑구 봉화산로 162 , 신현중학교 (상봉동) ",234210631,9,9,9,2,29,218,104,217,111,250,124,685,339,23.6,52,39,49,37,3,2,3,3,42
동부,중랑구,용마중학교,http://yongma.ms.kr, 공립 , 공학 ,2254," 서울특별시 중랑구 면목로28길 18 , 용마중학교 (면목동) ",24396220,8,7,7,2,24,201,89,148,52,179,83,528,224,22,46,31,35,23,11,8,4,3,37
동부,중랑구,원묵중학교,http://wonmook.ms.kr, 공립 , 공학 ,2022," 서울특별시 중랑구 신내로23길 57 , 원묵중학교 (묵동) ",220949807,12,11,11, - ,34,316,143,311,147,330,181,957,471,28.1,67,49,56,41,11,8,2,1,51
동부,중랑구,장안중학교,http://www.jangan70.ms.kr, 공립 , 공학 ,2088," 서울특별시 중랑구 동일로 780 , 장안중학교 (중화동) ",269303300,7,6,6,3,22,175,46,155,49,149,57,479,152,21.8,42,32,36,26,6,6,4,4,37
동부,동대문구,장평중학교,http://www.jangpyung.ms.kr, 공립 , 공학 ,2640," 서울특별시 동대문구 답십리로72길 158 , 장평중학교 (장안동) ",222438282,9,9,9,1,28,234,125,238,119,239,135,711,379,25.4,53,41,43,33,10,8,5,1,44
동부,동대문구,전농중학교,http://www.jeonnong.ms.kr, 공립 , 공학 ,2506," 서울특별시 동대문구 사가정로13길 71 (전농동,전농중학교) ",222426652,7,6,7, - ,20,159,79,138,68,184,91,481,238,24.1,41,31,33,25,8,6,2,2,36
동부,동대문구,전동중학교,http://www.jeondong.ms.kr, 공립 , 공학 ,2511," 서울특별시 동대문구 장안벚꽃로 291 (휘경동,전동중학교) ",222129266,6,6,6,2,20,144,64,153,69,131,63,428,196,21.4,41,31,31,23,10,8,3,1,32
동부,동대문구,전일중학교,http://www.jeonil.ms.kr, 공립 , 공학 ,2506," 서울특별시 동대문구 사가정로13길 67 , 전일중학교 (전농동) ",222452745,6,6,6,1,19,144,72,146,73,153,68,443,213,23.3,39,29,32,25,7,4,4,2,32
동부,중랑구,중랑중학교,http://www.joongrang.ms.kr, 공립 , 공학 ,2047," 서울특별시 중랑구 동일로140길 33 , 중랑중학교 (중화동) ",24375312,5,6,6,1,18,126,65,143,54,146,58,415,177,23.1,39,31,31,24,8,7,2,1,40
동부,중랑구,중화중학교,http://www.junghwa.ms.kr, 공립 , 공학 ,2193, 서울특별시 중랑구 용마산로 364 (면목동) ,24395817,8,7,7,3,25,186,66,166,67,182,71,534,204,21.4,49,36,40,30,9,6,4,2,39
동부,동대문구,청량중학교,http://www.cheongryang.ms.kr, 공립 , 공학 ,2461, 서울특별시 동대문구 왕산로 301 (청량리동) ,29660436,6,6,7,2,21,146,46,139,42,168,53,453,141,21.6,45,31,35,24,10,7,2, - ,40
동부,중랑구,태릉중학교,http://www.taereung.ms.kr, 공립 , 공학 ,2040, 서울특별시 중랑구 공릉로2길 60-25 (묵동) ,29735551,7,5,6,1,19,162,72,118,53,148,85,428,210,22.5,40,32,32,26,8,6,4,2,36
동부,동대문구,휘경중학교,http://www.hwigyong.ms.kr, 공립 , 공학 ,2498," 서울특별시 동대문구 망우로18나길 20 (휘경동,휘경중학교) ",222441359,5,5,6,2,18,112,32,88,31,124,45,324,108,18,38,27,30,22,8,5,2, - ,32
동부,동대문구,경희여자중학교,http://www.kyungheegls.ms.kr, 사립 , 여자 ,2447, 서울특별시 동대문구 경희대로 26 (회기동) ,222508888,6,6,6, - ,18,135,135,135,135,150,150,420,420,23.3,31,19,29,17,2,2,4,2, - 
동부,동대문구,경희중학교,http://www.kyunghee.ms.kr, 사립 , 남자 ,2447," 서울특별시 동대문구 경희대로 26 , 경희중학교 (회기동) ",29666402,7,6,7, - ,20,177, - ,154, - ,182, - ,513, - ,25.7,41,14,35,11,6,3,4, - , - 
동부,동대문구,대광중학교,http://www.dgm.ms.kr, 사립 , 공학 ,2581, 서울특별시 동대문구 안암로 6 (신설동) 대광중학교 ,29402206,5,6,6, - ,17,108,42,116,59,137,48,361,149,21.2,33,16,28,11,5,5,4,2,18
동부,동대문구,동국대학교사범대학부속중학교,http://dongguk.ms.kr, 사립 , 남자 ,2520, 서울특별시 동대문구 장안벚꽃로 201 (장안동) ,267161800,7,6,7, - ,20,176, - ,155, - ,153, - ,484, - ,24.2,41,20,33,15,8,5,4,1,28
동부,중랑구,송곡여자중학교,http://www.songgok.ms.kr, 사립 , 여자 ,2057," 서울특별시 중랑구 양원역로 67 (망우동, 송곡여자중고등학교) ",7071243568,4,4,4, - ,12,58,58,65,65,75,75,198,198,16.5,24,18,16,12,8,6,4,2,18
동부,중랑구,영란여자중학교,http://www.youngran.ms.kr, 사립 , 여자 ,2061, 서울특별시 중랑구 망우로73길 56 (망우동) ,222090143,6,6,6, - ,18,100,100,101,101,115,115,316,316,17.6,33,27,30,24,3,3,4,2,26
동부,동대문구,정화여자중학교,http://www.jhg.ms.kr, 사립 , 여자 ,2480, 서울특별시 동대문구 홍릉로15길 50 (제기동) ,29670178,4,4,4, - ,12,59,59,51,51,65,65,175,175,14.6,24,13,18,9,6,4,3,1, - 
동부,중랑구,혜원여자중학교,http://hyewon.ms.kr, 사립 , 여자 ,2142, 서울특별시 중랑구 봉우재로 58길 39 (망우동) ,264917904,6,6,6, - ,18,118,118,127,127,165,165,410,410,22.8,36,23,32,19,4,4,4,1,27
동부,동대문구,휘경여자중학교,http://www.hwikyung.ms.kr, 사립 , 여자 ,2503, 서울특별시 동대문구 한천로 247 휘경여자중학교 ,222448927,7,6,6, - ,19,175,175,151,151,156,156,482,482,25.4,37,19,29,13,8,6,4, - ,36
서부,서대문구,가재울중학교,http://www.gajaeul.ms.kr, 공립 , 공학 ,3709, 서울특별시 서대문구 수색로 100-75 (북가좌동) ,23768565,7,7,7,2,23,239,106,209,103,221,110,669,319,29.1,44,31,39,28,5,3,5,3,31
서부,은평구,구산중학교,http://www.gusanjung.ms.kr, 공립 , 공학 ,3429," 서울특별시 은평구 갈현로15길 20-23 (구산동,구산중학교) ",23898785,9,8,9,2,28,235,98,199,89,224,91,658,278,23.5,53,42,48,37,5,5,2,2,39
서부,은평구,덕산중학교,http://www.duksan.ms.kr, 공립 , 공학 ,3433, 서울특별시 은평구 가좌로 400 (신사동) ,231467292,6,6,6, - ,18,143,86,140,85,143,76,426,247,23.7,37,30,33,26,4,4,2,2,36
서부,은평구,불광중학교,http://bulgwang.ms.kr, 공립 , 공학 ,3359," 서울특별시 은평구 불광로 180 , 불광중학교 (불광동) ",23846591,8,8,8,2,26,207,89,198,94,224,104,629,287,24.2,48,32,43,28,5,4,3, - ,38
서부,은평구,상신중학교,http://www.sangsin.ms.kr, 공립 , 공학 ,3447," 서울특별시 은평구 증산로15길 61 (신사동, 상신중학교) ",23055136,6,5,6,1,18,137,100,132,92,141,82,410,274,22.8,36,25,30,21,6,4,4,2,25
서부,마포구,상암중학교,http://sangam.ms.kr, 공립 , 공학 ,3907, 서울특별시 마포구 상암산로1길 26 (상암동) ,23755300,13,13,12,2,40,397,192,416,202,342,181,"1,155",575,28.9,76,61,66,51,10,10,3,2,56
서부,서대문구,서연중학교,http://www.seoyun.ms.kr, 공립 , 공학 ,3704, 서울특별시 서대문구 연희로11마길 9-6 (연희동) ,23327375,5,5,7,1,18,103,41,98,46,153,72,354,159,19.7,43,31,32,23,11,8,3,1,32
서부,마포구,서울여자중학교,http://www.seoul.ms.kr, 공립 , 여자 ,4140," 서울특별시 마포구 백범로25길 34 , 128-2 (염리동) ",27165041,6,6,6,1,19,177,177,133,133,159,159,469,469,24.7,41,37,35,32,6,5,2,2,32
서부,마포구,성사중학교,http://www.sungsa.ms.kr, 공립 , 공학 ,3951," 서울특별시 마포구 모래내로9길 16 , 성사중학교 (성산동) ",23738002,6,6,7,2,21,105,57,126,66,171,76,402,199,19.1,46,33,37,25,9,8,4,1,40
서부,마포구,성산중학교,http://sungsan.ms.kr/, 공립 , 공학 ,4072, 서울특별시 마포구 성지1길 32-13 (합정동) ,23320307,9,8,8,1,26,189,84,191,87,188,102,568,273,21.8,48,34,44,31,4,3,4, - ,37
서부,마포구,성서중학교,http://www.sungseo.ms.kr, 공립 , 공학 ,3965, 서울특별시 마포구 성산로4길 42 (성산동) ,231407100,8,7,7,1,23,177,79,166,86,178,95,521,260,22.7,44,34,42,32,2,2,4,2,35
서부,은평구,신도중학교,http://www.shindo.ms.kr, 공립 , 공학 ,3310, 서울특별시 은평구 진관1로 77-30 (진관동) ,23894330,12,10,11,2,35,393,185,306,130,340,168,"1,039",483,29.7,65,50,55,41,10,9,4,3,40
서부,마포구,신수중학교,http://www.sinsu.ms.kr, 공립 , 공학 ,4087," 서울특별시 마포구 신수로 49 , 신수중학교 (신수동) ",27176004,7,6,6,1,20,178,113,167,94,162,88,507,295,25.4,43,32,35,26,8,6,3,1,29
서부,서대문구,신연중학교,http://www.sinyeon.ms.kr, 공립 , 공학 ,3717, 서울특별시 서대문구 모래내로 408 (연희동) ,23794317,6,5,6,2,19,135,69,129,48,137,57,401,174,21.1,36,26,34,26,2, - ,4,2,32
